epci_siren,epci_nom,epci_type,code_commune,nom_commune
200043321,CC du Pays de Mormal,CC,59164,Croix-Caluyau
200043321,CC du Pays de Mormal,CC,59194,Englefontaine
200043321,CC du Pays de Mormal,CC,59217,Eth
200043321,CC du Pays de Mormal,CC,59242,Fontaine-au-Bois
200043321,CC du Pays de Mormal,CC,59246,Forest-en-Cambrésis
200043321,CC du Pays de Mormal,CC,59251,Frasnoy
200043321,CC du Pays de Mormal,CC,59259,Ghissignies
200043321,CC du Pays de Mormal,CC,59265,Gommegnies
200043321,CC du Pays de Mormal,CC,59277,Gussignies
200043321,CC du Pays de Mormal,CC,59283,Hargnies
200043321,CC du Pays de Mormal,CC,59296,Hecq
200043321,CC du Pays de Mormal,CC,59310,Hon-Hergies
200043321,CC du Pays de Mormal,CC,59315,Houdain-lez-Bavay
200043321,CC du Pays de Mormal,CC,59323,Jenlain
200043321,CC du Pays de Mormal,CC,59325,Jolimetz
