code_commune,nom_commune,epci_nom,population,taux_chomage,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale,solde_net,score_mortalite,score_solde,score_densite,score_chomage,score_fragilite,quartile,cluster,profil,categorie_priorite
59105,BOUVIGNIES,CC Pévèle-Carembault,1580.0,5.93,29,11,18,62.06896551724138,6.962025316455696,-7,15.52,0.16,23.39,3.86,42.93,Q2-Stable,3.0,Désertifié,Priorité B
59106,BOUVINES,Métropole Européenne de Lille,766.0,6.41,30,21,9,30.0,27.41514360313316,12,7.5,0.04,18.68,4.18,30.39,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59107,BRAY-DUNES,CU de Dunkerque,4189.0,12.69,153,60,93,60.78431372549019,14.3232275005968,-33,15.2,0.32,21.7,8.27,45.48,Q3-Fragilisé,0.0,Dynamique,Non prioritaire
59108,BRIASTRE,CA du Caudrésis et du Catésis,689.0,12.0,19,5,14,73.68421052631578,7.25689404934688,-9,18.42,0.17,23.33,7.82,49.73,Q4-Fragile,3.0,Désertifié,Priorité B
59109,BRILLON,CA de la Porte du Hainaut,771.0,9.69,18,9,9,50.0,11.673151750972762,0,12.5,0.11,22.31,6.31,41.23,Q2-Stable,0.0,Dynamique,Non prioritaire
59110,BROUCKERQUE,CC des Hauts de Flandre,1452.0,5.24,21,7,14,66.66666666666666,4.820936639118457,-7,16.67,0.16,23.89,3.41,44.13,Q2-Stable,3.0,Désertifié,Priorité B
59111,BROXEELE,CC des Hauts de Flandre,425.0,4.79,21,11,10,47.61904761904761,25.88235294117647,1,11.9,0.11,19.03,3.12,34.16,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59112,BRUAY-SUR-L'ESCAUT,CA Valenciennes Métropole,11644.0,20.63,361,148,213,59.0027700831025,12.710408794228789,-65,14.75,0.52,22.07,13.44,50.78,Q4-Fragile,1.0,Précaire,Priorité B
59113,BRUILLE-LEZ-MARCHIENNES,CA Coeur d'Ostrevent,1340.0,15.3,24,7,17,70.83333333333334,5.223880597014925,-10,17.71,0.17,23.8,9.97,51.65,Q4-Fragile,3.0,Désertifié,Priorité B
59114,BRUILLE-SAINT-AMAND,CA de la Porte du Hainaut,1698.0,9.28,35,13,22,62.85714285714285,7.656065959952886,-9,15.71,0.17,23.23,6.05,45.16,Q3-Fragilisé,3.0,Désertifié,Priorité B
