code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59140,CAULLERY,200030633,CA du Caudrésis et du Catésis,CA,467.0,12.28,,9,4,5,55.55555555555556,8.565310492505352
59141,CAUROIR,200068500,CA de Cambrai,CA,579.0,10.31,,19,8,11,57.89473684210527,13.816925734024181
59142,CERFONTAINE,200043396,CA Maubeuge Val de Sambre,CA,646.0,8.83,,9,3,6,66.66666666666666,4.643962848297213
59143,LA CHAPELLE-D'ARMENTIERES,200093201,Métropole Européenne de Lille,METRO,8754.0,9.13,8710.0,253,97,156,61.6600790513834,11.080648846241719
59144,CHATEAU-L'ABBAYE,200042190,CA de la Porte du Hainaut,CA,917.0,8.68,,24,14,10,41.66666666666667,15.267175572519083
59145,CHEMY,200041960,CC Pévèle-Carembault,CC,766.0,4.25,,15,9,6,40.0,11.74934725848564
59146,CHERENG,200093201,Métropole Européenne de Lille,METRO,3078.0,6.41,,66,29,37,56.060606060606055,9.421702404158545
59147,CHOISIES,200043263,CC Coeur de l'Avesnois,CC,43.0,4.17,,1,1,0,0.0,23.255813953488374
59148,CLAIRFAYTS,200043263,CC Coeur de l'Avesnois,CC,357.0,16.62,,12,4,8,66.66666666666666,11.204481792717088
59149,CLARY,200030633,CA du Caudrésis et du Catésis,CA,1088.0,11.24,,28,15,13,46.42857142857143,13.786764705882351
59150,COBRIEUX,200041960,CC Pévèle-Carembault,CC,563.0,5.43,,11,5,6,54.54545454545454,8.880994671403197
59151,COLLERET,200043396,CA Maubeuge Val de Sambre,CA,1541.0,10.5,,29,11,18,62.06896551724138,7.138221933809215
59152,COMINES,200093201,Métropole Européenne de Lille,METRO,12731.0,11.85,8440.0,339,142,197,58.11209439528023,11.153876364778887
59153,CONDE-SUR-L'ESCAUT,245901160,CA Valenciennes Métropole,CA,9253.0,28.66,6130.0,262,105,157,59.92366412213741,11.347671025613314
59155,COUDEKERQUE-BRANCHE,245900428,CU de Dunkerque,CU,20787.0,15.33,8940.0,626,273,353,56.38977635782748,13.133208255159476
59156,COURCHELETTES,200044618,CA Douaisis Agglo,CA,2855.0,13.55,9050.0,71,30,41,57.74647887323944,10.507880910683012
59157,COUSOLRE,200043396,CA Maubeuge Val de Sambre,CA,2153.0,18.11,,87,37,50,57.47126436781609,17.18532280538783
59158,COUTICHES,200041960,CC Pévèle-Carembault,CC,3436.0,5.61,9510.0,87,39,48,55.172413793103445,11.350407450523866
59159,CRAYWICK,245900428,CU de Dunkerque,CU,791.0,6.22,,17,10,7,41.17647058823529,12.642225031605562
59160,CRESPIN,245901160,CA Valenciennes Métropole,CA,4532.0,22.59,7900.0,87,38,49,56.32183908045977,8.384819064430715
59161,CREVECŒUR-SUR-L'ESCAUT,200068500,CA de Cambrai,CA,716.0,9.99,,13,8,5,38.46153846153847,11.1731843575419
59162,CROCHTE,200040954,CC des Hauts de Flandre,CC,659.0,7.36,,10,7,3,30.0,10.62215477996965
59163,CROIX,200093201,Métropole Européenne de Lille,METRO,20566.0,14.33,7650.0,848,319,529,62.382075471698116,15.51103763493144
59164,CROIX-CALUYAU,200043321,CC du Pays de Mormal,CC,238.0,9.22,,4,1,3,75.0,4.201680672268908
59165,CUINCY,200044618,CA Douaisis Agglo,CA,6467.0,13.05,8330.0,153,62,91,59.47712418300654,9.587134683779187
59166,CURGIES,245901160,CA Valenciennes Métropole,CA,1333.0,9.58,,30,17,13,43.333333333333336,12.753188297074269
59167,CUVILLERS,200068500,CA de Cambrai,CA,177.0,13.25,,5,3,2,40.0,16.949152542372882
59168,CYSOING,200041960,CC Pévèle-Carembault,CC,4839.0,9.12,9330.0,204,92,112,54.90196078431373,19.012192601777226
59169,DAMOUSIES,200043263,CC Coeur de l'Avesnois,CC,205.0,16.13,,2,2,0,0.0,9.75609756097561
59170,DECHY,200044618,CA Douaisis Agglo,CA,5338.0,22.23,8290.0,233,104,129,55.36480686695279,19.482952416635445
59171,DEHERIES,200030633,CA du Caudrésis et du Catésis,CA,43.0,0.0,,2,0,2,100.0,0.0
59172,DENAIN,200042190,CA de la Porte du Hainaut,CA,20665.0,31.94,6030.0,1146,553,593,51.74520069808028,26.760222598596663
59173,DEULEMONT,200093201,Métropole Européenne de Lille,METRO,1778.0,6.87,,48,20,28,58.333333333333336,11.24859392575928
59174,DIMECHAUX,200043263,CC Coeur de l'Avesnois,CC,327.0,8.17,,11,5,6,54.54545454545454,15.290519877675841
59175,DIMONT,200043263,CC Coeur de l'Avesnois,CC,289.0,12.76,,11,3,8,72.72727272727273,10.380622837370243
59176,DOIGNIES,200068500,CA de Cambrai,CA,325.0,11.87,,12,4,8,66.66666666666666,12.307692307692307
59177,DOMPIERRE-SUR-HELPE,200043263,CC Coeur de l'Avesnois,CC,815.0,13.9,,22,7,15,68.18181818181817,8.588957055214724
59178,DOUAI,200044618,CA Douaisis Agglo,CA,40250.0,22.32,6410.0,1890,630,1260,66.66666666666666,15.652173913043478
59179,DOUCHY-LES-MINES,200042190,CA de la Porte du Hainaut,CA,10109.0,18.21,7450.0,262,116,146,55.72519083969466,11.474923335641508
59180,LE DOULIEU,200040947,CA Coeur de Flandre,CA,1436.0,4.36,,38,17,21,55.26315789473685,11.838440111420613
59181,DOURLERS,200043263,CC Coeur de l'Avesnois,CC,536.0,9.13,,13,7,6,46.15384615384615,13.059701492537313
